ID,Status,Uptime,Country,Location,Ships,Distinct,Contributor
2813,,100 %,ÿCanada,Vancouver,84,2, 
2573,,100 %,ÿItaly,Venice,84,32, 
2468,,99 %,ÿNetherlands,Rotterdam,84,1,InterTransIS
3269,,100 %,ÿNetherlands,Bergen op Zoom,83,12, 
2775,,99 %,ÿNetherlands,Franeker,83,4, 
2365,,100 %,ÿNew Zealand,Auckland,81,1, 
3459,,74 %,ÿBelgium,Oostende,80,3,Flanders Marine Institute
3597,,100 %,ÿUnited States of America,Hampton Virginia,80,34, 
3597,,100 %,ÿUnited States of America,Hampton Virginia,80,34, 
3526,,100 %,ÿUnited Arab Emirates,Abu Dhabi,80,41, 
2058,,98 %,ÿDenmark,Humlebaek,79,2, 
3932,,100 %,ÿFrench Polynesia,Roaming station,79,0, 
2289,,99 %,ÿFrance,Six Fours Les Plages,79,78, 
2716,,100 %,ÿUnited Kingdom,Gosport,78,5, 
2896,,100 %,ÿSpain,Barcelona,78,4,FroL
2115,,100 %,ÿUnited Kingdom,London,77,2, 
3307,,100 %,ÿPoland,Gdansk,76,1, 
2073,,100 %,ÿUnited Kingdom,Felixstowe ,76,15, 
3024,,100 %,ÿJapan,"Katsuura, Chiba",76,72, 
3141,,100 %,ÿNetherlands,Harkstede,76,16, 
2380,,100 %,ÿFinland,Helsinki,76,27, 
2290,,100 %,ÿGreece,Athens,75,30, 
2137,,100 %,ÿGermany,Bremen,75,2, 
2135,,100 %,ÿUnited States of America,"Wilmington, CA",75,0, 
2963,,100 %,ÿUnited States of America,"Anacortes, WA",74,12,CleverKathy Designs
2189,,95 %,ÿItaly,Milazzo,74,51, 
2892,,100 %,ÿNetherlands,Duiven,74,27, 
2278,,100 %,ÿArgentina,Mar del Plata,73,73, 
3581,,73 %,ÿGermany,Helgoland,73,45, 
2457,,100 %,ÿGermany,Madgeburg,72,30, 
2262,,100 %,ÿSweden,Karlskrona,72,67, 
2502,,100 %,ÿAustralia,Scarborough,71,34, 
2791,,100 %,ÿUnited States of America,"Florida, Tampa",71,50, 
2719,,100 %,ÿLithuania,Klaipeda,70,70, 
2825,,100 %,ÿUnited Kingdom,Alton,70,8, 
3809,,100 %,ÿUnited States of America,Norfolk VA,70,17, 
2313,,100 %,ÿUnited Kingdom,"Broadstairs, Kent",69,1, 
3497,,100 %,ÿDenmark,R›dby,68,8, 
2463,,100 %,ÿCanada,Prince Rupert,68,1, 
2422,,90 %,ÿAustralia,Collaroy Plateau,67,33, 
2180,,100 %,ÿFrance,Rouen,67,0, 
3174,,100 %,ÿUnited Kingdom,"Higham, Kent",67,1, 
2593,,100 %,ÿCanada,Prince Rupert,67,0, 
3004,,100 %,ÿSlovenia,Izola,66,3, 
2845,,100 %,ÿGermany,Cuxhaven,66,0, 
3136,,100 %,ÿNorway,Bergen,66,3, 
2099,,100 %,ÿUnited States of America,US East Coast,66,7, 
3176,,100 %,ÿSweden,N„sudden Ingar”,65,4, 
2125,,56 %,ÿDenmark,Eg†,65,0, 
2589,,100 %,ÿNorway,Asker,65,32, 
3175,,100 %,ÿUnited Kingdom,Tangmere,65,14, 
2308,,100 %,ÿUnited States of America,"Jupiter, FL",64,59, 
2697,,100 %,ÿUnited States of America,"Bremerton, WA",64,13, 
2911,,100 %,ÿSpain,el Toro,64,36, 
2684,,94 %,ÿNorway,"Oslo, Frognerkilen",64,31, 
3812,,100 %,ÿSpain,Valencia,64,0, 
2511,,100 %,ÿSouth Africa,Cape Town,64,18, 
2116,,100 %,ÿUnited States of America,"Eastport, Annapolis, MD",63,37, 
2379,,100 %,ÿNetherlands,Zeist,63,4,QPS
2959,,100 %,ÿSpain,Valencia,63,0, 
2116,,100 %,ÿUnited States of America,"Eastport, Annapolis, MD",63,37, 
3593,,100 %,ÿGermany,Rostock,63,26, 
3721,,100 %,ÿNorway,Bergen,63,9, 
2136,,100 %,ÿNetherlands,NW_Overijssel ,63,10, 
2642,,100 %,ÿUnited Kingdom,Southampton,63,4, 
2347,,100 %,ÿNetherlands,The Hague,62,3, 
2252,,75 %,ÿSouth Africa,Umhlanga,62,3, 
3077,,100 %,ÿGermany,Kiel,62,0, 
2428,,100 %,ÿFrance,Le Havre,62,0, 
2113,,100 %,ÿSaudi Arabia,Tabuk,62,61, 
2836,,100 %,ÿFrance,Brest,61,9, 
2967,,60 %,ÿUnited Kingdom,Birkenhead,61,0, 
3473,,100 %,ÿNetherlands,Breskens,61,0, 
2020,,100 %,ÿUnited Kingdom,Liverpool,61,0,www.shipais.com
2070,,99 %,ÿAustralia,"Nelson Bay, NSW",61,41, 
2403,,100 %,ÿGermany,Stadersand,61,1, 
3684,,100 %,ÿNetherlands,Alkmaar,61,10, 
3149,,100 %,ÿGermany,Bremerhaven,61,0, 
3417,,100 %,ÿSweden,Sodra Bjorkfjarden,60,35, 
2060,,100 %,ÿUnited Kingdom,Solent,60,1,ShipFinder
3939,,87 %,ÿFrance,Nice,60,3, 
2625,,99 %,ÿNetherlands,Sint Anne,60,1, 
2273,,100 %,ÿNetherlands,Rotterdam,60,0, 
3654,,100 %,ÿUnited Kingdom,Portsmouth,60,0, 
3819,,82 %,ÿUnited States of America,Bahamas,59,2, 
2786,,100 %,ÿTurkey,BakÕrk”y,59,26, 
2095,,100 %,ÿUnited Kingdom,Southampton,59,4, 
2346,,100 %,ÿNetherlands,Amsterdam,59,0, 
2554,,100 %,ÿNetherlands,Gorinchem,59,6, 
3145,,81 %,ÿCanada,Vancouver,58,3, 
2351,,100 %,ÿNetherlands,Goes,58,3, 
3212,,100 %,ÿNetherlands,Maarssenbroek,58,17, 
3064,,100 %,ÿSpain,La Manga del mar menor,58,58, 
2782,,100 %,ÿNetherlands,Sneek,58,45, 
2653,,100 %,ÿFrance,La Rochelle,57,35, 
2749,,100 %,ÿFrance,Carnon,57,52, 
3768,,99 %,ÿSouth Africa,Cape Town,56,8, 
2081,,98 %,ÿMartinique,Fort-de-France,56,24, 
2300,,100 %,ÿBelgium,Antwerp Harbour 1,56,3,www.vemasys.com
3987,,100 %,ÿBelgium,Wenduine,56,2, 
2976,,100 %,ÿCanada,Vancouver,55,0, 
2247,,100 %,ÿUnited States of America,"Hanover, Maryland ",55,5, 
3102,,100 %,ÿGreece,Athens,55,0, 
2692,,100 %,ÿSingapore,Pasir Ris,55,21, 
2778,,100 %,ÿNorway,Troms›,55,0, 
