ID;Status;Uptime;Country;Location;Ships;Distinct
2904;;100 %; Netherlands;Wezep;28;2
3441;;97 %; Netherlands; ;28;7
3186;;100 %; United Kingdom;Newlyn;28;23
2798;;100 %; Austria;Linz;28;8
2205;;100 %; Portugal;Silves;27;8
2327;;100 %; Denmark;Roenne, Bornholm ;27;26
2209;;100 %; France;Saint-Malo;27;1
3071;;76 %; Mexico;Gulf of California;27;17
3488;;100 %; Australia;Parramatta;27;0
3963;;100 %; Hong Kong;Wanchai;27;0
2678;;98 %; Netherlands;Beverwijk;27;0
2890;;100 %; Canada;Montreal;26;2
3248;;39 %; United Kingdom;Kent;26;2
3052;;100 %; Norway;Sandvika;26;2
3913;;100 %; Germany;Simonsberg;26;25
2255;;100 %; Cyprus;Limassol;26;0
2376;;100 %; Unknown;Roaming Station;26;19
2507;;100 %; Mexico;Nuevo Vallarta, Nayarit;26;24
3575;;86 %; Spain;Huelva;26;26
2895;;100 %; Norway;Indre Arna;26;1
3375;;100 %; Spain;Santander;26;26
2558;;100 %; United Kingdom;Gelliswick;25;22
2985;;100 %; Germany;Heilbronn;25;8
2275;;100 %; France;Lorient;25;0
2340;;100 %; Spain;Valencia;25;0
2348;;91 %; Chile;Viña del Mar;25;15
3222;;80 %; Spain;La Coruña;25;14
2454;;86 %; Viet Nam;Ho Chi Minh City;25;25
3465;;98 %; Spain;Fuengirola;25;13
2974;;98 %; Hong Kong;Hong Kong;25;0
2506;;94 %; Norway;Lista;25;0
3627;;100 %; Netherlands;Druten;25;0
2915;;100 %; Netherlands;Amersfoort;25;0
2917;;100 %; France;Brest;25;0
3753;;100 %; Germany;Minden;25;25
2524;;100 %; Cyprus;Limassol;25;1
2588;;100 %; Netherlands;The Hague;25;0
3471;;98 %; Sweden;Wik-Inn Marina;24;18
2217;;100 %; Italy;Taranto;24;24
2312;;100 %; United Kingdom;Bristol;24;3
2595;;100 %; Germany;Bremen;24;0
2299;;100 %; France;Locmalo, Port-Louis;24;0
2561;;100 %; Germany;Bremerhaven;24;1
2345;;100 %; Unknown;Multiple AIS stations;24;0
2567;;86 %; United Kingdom;Plymouth;24;1
2811;;100 %; Estonia;Tallinn;24;8
3764;;100 %; United States of America;Burlington KY;24;24
2647;;100 %; United Kingdom;Edinburgh;24;2
2647;;100 %; United Kingdom;Edinburgh;24;2
2811;;100 %; Estonia;Tallinn;24;8
2688;;100 %; Germany;Lübeck;24;24
2693;;100 %; France;Roaming station;24;0
3471;;98 %; Sweden;Wik-Inn Marina;24;18
2723;;89 %; United States of America;Cosmopolis;24;17
2746;;100 %; Austria;Leonding;24;4
3764;;100 %; United States of America;Burlington KY;24;24
3409;;99 %; Germany;Hamburg;23;0
2190;;99 %; Finland;Ekenas;23;20
3319;;100 %; Canada;Toronto;23;2
2822;;97 %; India;Visakhapatnam;23;23
3616;;100 %; Netherlands;Vlissingen;23;0
