ID;Status;Uptime;Country;Location;Ships;Distinct;Contributor;ships_rel;cum_ships_rel;dist_rel;
3455;;100 %; United States of America;Los Angeles;158;78; ;0,17 %;64,93 %;0,30 %;63,06 %
2112;;100 %; Netherlands;Harlingen;157;83; ;0,16 %;65,09 %;0,31 %;63,38 %
3984;;100 %; Norway;Tromsoe;156;28; ;0,16 %;65,26 %;0,11 %;63,48 %
2489;;100 %; Italy;Genoa;156;5; ;0,16 %;65,42 %;0,02 %;63,50 %
3459;;100 %; Belgium;Oostende;156;3;Flanders Marine Institute;0,16 %;65,58 %;0,01 %;63,51 %
2857;;100 %; Canada;Vancouver;153;0; ;0,16 %;65,74 %;0,00 %;63,51 %
2372;;100 %; Canada;Vancouver;153;3; ;0,16 %;65,91 %;0,01 %;63,52 %
2355;;100 %; Sweden;Torslanda, Gothenburg ;151;20; ;0,16 %;66,06 %;0,08 %;63,60 %
3632;;100 %; Singapore;Singapore;151;2; ;0,16 %;66,22 %;0,01 %;63,61 %
3392;;100 %; Germany;Lienen;148;19; ;0,16 %;66,38 %;0,07 %;63,68 %
3335;;100 %; Netherlands;Genderen;146;48; ;0,15 %;66,53 %;0,18 %;63,86 %
2029;;91 %; Netherlands;Den Oever;145;74; ;0,15 %;66,68 %;0,28 %;64,14 %
2541;;94 %; Viet Nam;Haiphong;144;72; ;0,15 %;66,83 %;0,27 %;64,41 %
2797;;100 %; United States of America;Signal Hill;144;8; ;0,15 %;66,98 %;0,03 %;64,44 %
2338;;100 %; United Arab Emirates;Ansam;144;109; ;0,15 %;67,14 %;0,41 %;64,86 %
2426;;100 %; United States of America;San Francisco Bay;143;33; ;0,15 %;67,29 %;0,13 %;64,98 %
2955;;100 %; Canada;Bowen Island;143;0; ;0,15 %;67,44 %;0,00 %;64,98 %
2042;;100 %; Canada;Vancouver;142;4; ;0,15 %;67,58 %;0,02 %;65,00 %
3824;;82 %; United States of America;Miami, FL;142;0; ;0,15 %;67,73 %;0,00 %;65,00 %
3203;;100 %; Greece;Athens;142;9; ;0,15 %;67,88 %;0,03 %;65,03 %
2460;;100 %; Denmark;Nivå;141;13; ;0,15 %;68,03 %;0,05 %;65,08 %
2940;;87 %; Australia;Thornlands, Queensland;140;24; ;0,15 %;68,18 %;0,09 %;65,17 %
2505;;100 %; Sweden;Göteborg;140;0; ;0,15 %;68,32 %;0,00 %;65,17 %
3023;;100 %; Netherlands;Rozenburg;140;0; ;0,15 %;68,47 %;0,00 %;65,17 %
3135;;100 %; Netherlands;Koog aan de Zaan;139;7; ;0,15 %;68,62 %;0,03 %;65,20 %
3354;;100 %; Australia;Port Hedland;139;60; ;0,15 %;68,76 %;0,23 %;65,43 %
2281;;100 %; Portugal;Sines;138;95; ;0,14 %;68,91 %;0,36 %;65,79 %
