,PORT NAME,STATE,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand,Year
556,Portsmouth,,,,,,,,,,3620.669,2019
557,Ramsgate ,,,,,,,,,,95.83700000000002,2019
558,River Trent,,,,,,,,,,1046.828,2019
559,Rivers Hull and Humber ,,,,,,,,,,10698.515,2019
560,Shoreham,,,,,,,,,,1992.078,2019
561,Southampton,,,,,,,,,,33150.805,2019
562,Stranraer ,,,,,,,,,,0.0,2019
563,Sullom Voe ,,,,,,,,,,7371.229,2019
564,Sunderland,,,,,,,,,,788.492,2019
565,Swansea,,,,,,,,,,455.322,2019
566,Tees and Hartlepool,,,,,,,,,,28156.293999999998,2019
567,Tyne,,,,,,,,,,4680.892,2019
568,Warrenpoint,,,,,,,,,,3320.524,2019
569,Aberdeen,,,,,,,,,,3386.531,2020
570,Belfast,,,,,,,,,,18578.288,2020
571,Boston,,,,,,,,,,761.216,2020
572,Bristol,,,,,,,,,,6478.814,2020
573,Cairnryan,,,,,,,,,,2695.0660000000003,2020
574,Cardiff,,,,,,,,,,1333.421,2020
575,Clyde,,,,,,,,,,6933.262000000001,2020
576,Cromarty Firth ,,,,,,,,,,421.395,2020
577,Dover,,,,,,,,,,21888.894,2020
578,Dundee,,,,,,,,,,430.4889999999999,2020
579,Felixstowe,,,,,,,,,,23080.939000000002,2020
580,Fishguard,,,,,,,,,,415.238,2020
581,Fleetwood ,,,,,,,,,,0.0,2020
582,Forth,,,,,,,,,,23031.84,2020
583,Fowey,,,,,,,,,,239.32100000000003,2020
584,Glensanda,,,,,,,,,,5458.257,2020
585,Goole ,,,,,,,,,,1043.592,2020
586,Great Yarmouth,,,,,,,,,,1242.6929999999998,2020
587,Grimsby and Immingham,,,,,,,,,,45611.181,2020
588,Harwich,,,,,,,,,,4087.6090000000004,2020
589,Heysham,,,,,,,,,,4067.224,2020
590,Holyhead,,,,,,,,,,5858.409,2020
591,Hull,,,,,,,,,,9207.842,2020
592,Ipswich,,,,,,,,,,2237.018,2020
593,Kilroot Power Station Jetty,,,,,,,,,,502.82500000000005,2020
594,Larne,,,,,,,,,,2727.452,2020
595,Liverpool,,,,,,,,,,31060.103,2020
596,Loch Ryan,,,,,,,,,,2615.5860000000002,2020
597,London,,,,,,,,,,47357.789,2020
598,Londonderry,,,,,,,,,,1760.107,2020
599,Manchester,,,,,,,,,,7112.2570000000005,2020
600,Medway,,,,,,,,,,9693.607,2020
601,Milford Haven,,,,,,,,,,33583.298,2020
602,Newhaven,,,,,,,,,,865.0150000000001,2020
603,Newport,,,,,,,,,,2328.821,2020
604,Orkney,,,,,,,,,,2669.563,2020
605,Peterhead,,,,,,,,,,975.818,2020
606,Plymouth,,,,,,,,,,1934.7549999999999,2020
607,Poole ,,,,,,,,,,499.415,2020
608,Port Talbot,,,,,,,,,,6675.592,2020
