,port_name,Region/State,Port hub,coord_0,coord_1,Major/Minor ports,id_Port,Year,Loaded InBound DOMESTIC,Empty InBound DOMESTIC,Loaded OutBound DOMESTIC,Empty OutBound DOMESTIC,Total DOMESTIC,Loaded InBound FOREIGN,Loaded OutBound  FOREIGN,Total OutBound  FOREIGN,Total Loaded Grand
99,kaunakakai,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,709.7,86.25,150.65,347.2,1293.8,0.0,0.0,0.0,860.35
100,kaunakakai,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,1139.95,231.2,334.2,628.7,2334.05,0.0,0.0,0.0,1474.15
101,kawaihae,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2018.0,55890.2,2359.55,17049.0,40312.65,115611.4,0.0,0.0,0.0,72939.2
102,kawaihae,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2019.0,56636.1,2454.4,16359.2,41003.35,116453.05,0.0,0.0,0.0,72995.3
103,kawaihae,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2020.0,60408.6,1928.8,15805.9,42231.4,120374.7,0.0,0.0,0.0,76214.5
104,kawaihae,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2021.0,68937.25,1645.75,15547.15,46342.3,132472.45,0.0,0.0,0.0,84484.4
105,kawaihae,HI,"honolulu, hi",21.30005636363636,-157.84118363636364,,,2022.0,65233.55,1765.6,13741.75,47794.65,128535.55,0.0,0.0,0.0,78975.3
106,ketchikan,AK,,,,,,2018.0,22214.2,7219.9,66801.45,48756.1,144991.65,0.0,0.0,0.0,89015.65
107,ketchikan,AK,,,,,,2019.0,19717.35,7284.6,65381.45,48391.8,140775.2,15.75,0.0,15.75,85114.55
108,ketchikan,AK,,,,,,2020.0,21247.25,6757.3,60863.65,42323.35,131191.55,4.0,0.0,4.0,82114.9
109,ketchikan,AK,,,,,,2021.0,22628.1,7931.9,67458.6,44683.0,142701.6,0.0,0.0,0.0,90086.7
110,ketchikan,AK,,,,,,2022.0,23723.25,9359.15,70639.5,43940.4,147662.3,3.5,0.0,3.5,94366.25
111,kivalina,AK,,,,,,2021.0,252.6,37.2,345.15,816.6,1451.55,192.0,0.0,192.0,789.75
112,kivalina,AK,,,,,,2022.0,48.1,63.0,86.1,995.8,1193.0,0.0,0.0,0.0,134.2
113,kodiak,AK,,,,,,2018.0,17643.35,3000.1,6328.5,14399.55,41371.5,0.0,480.0,480.0,24451.85
114,kodiak,AK,,,,,,2019.0,18185.1,1488.2,7042.65,15048.75,41764.7,0.0,772.0,772.0,25999.75
115,kodiak,AK,,,,,,2020.0,18635.6,1407.6,6944.15,12558.7,39546.05,0.0,441.0,441.0,26020.75
116,kodiak,AK,,,,,,2021.0,10144.2,2533.1,7542.35,5116.85,25336.5,0.0,296.0,296.0,17982.55
117,kodiak,AK,,,,,,2022.0,8893.95,4087.95,7950.6,4029.6,24962.1,0.0,78.25,78.25,16922.8
118,lake charles harbor and terminal district,LA,"new orleans, lo",29.635235045806905,-90.30409463002114,,,2021.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,9.25,9.25
119,lake charles harbor and terminal district,LA,"new orleans, lo",29.635235045806905,-90.30409463002114,,,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0
120,manatee county port authority,FL,"tampa, fl",27.84197524691358,-82.33899320987655,,,2021.0,0.0,0.0,0.0,0.0,0.0,69801.04,1074.29,70875.33,70875.33
121,manatee county port authority,FL,"tampa, fl",27.84197524691358,-82.33899320987655,,,2022.0,0.0,0.0,0.0,0.0,0.0,84099.57,8216.0,92315.57,92315.57
122,metlakatla,AK,,,,,,2018.0,14933.3,10390.15,11994.55,18120.7,55438.7,0.0,0.0,0.0,26927.85
123,metlakatla,AK,,,,,,2019.0,13174.099999999999,11683.55,12389.35,17966.85,55213.850000000006,0.0,0.0,0.0,25563.45
124,metlakatla,AK,,,,,,2020.0,10705.15,6505.05,9472.3,12522.599999999999,39205.1,0.0,0.0,0.0,20177.45
125,metlakatla,AK,,,,,,2021.0,1.0,780.9,140.4,591.5,1513.8,0.0,0.0,0.0,141.4
126,metlakatla,AK,,,,,,2022.0,1.0,703.2,65.4,605.0,1374.6,0.0,0.0,0.0,66.4
127,mobile,AL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2018.0,0.0,0.0,0.0,0.0,0.0,142208.38,127427.44,269635.82,269635.82
128,mobile,AL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2019.0,0.0,0.0,0.0,0.0,0.0,204254.63,132944.7,337199.33,337199.33
129,mobile,AL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2020.0,0.0,0.0,0.0,0.0,0.0,221338.43,132666.2,354004.63,354004.63
130,mobile,AL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2021.0,0.0,0.0,0.0,0.0,0.0,269856.84,149576.02,419432.86,419432.86
131,mobile,AL,"jackson county, ms, mobile, al",30.455800085106382,-87.89717340425531,,,2022.0,0.0,0.0,0.0,0.0,0.0,292962.13,147464.4,440426.53,440426.53
