Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts
2019-07,206.251,118.015,1.756,336.972,662.994,338.72799999999995,324.266,40.6909464495114,-74.15705749185668,14.0,66.0,2.0,1.0,14.0,2.0,1.0,14.0,6.0,529.0,76.006348984858,94.34462040028,1.39111687322,0.0110231131,87.29644188413998,175.598191683,0.0220462262,62.43339140879221,1.6468530971400002,836.1895498417043,649.0
2019-08,7408.0,37602.0,17755.0,24407.0,87172.0,42162.0,45010.0,26.14492877245509,-79.93771224550898,20.0,19.0,30.0,1.0,3.0,11.0,103.0,53.0,2.0,525.0,42.287086936482,30.69275611564,0.091271376468,0.110231131,0.5992164281160001,1166.4217357896002,0.3022537612020002,22.7092884991912,9.259415004,803.742443229974,767.0
2019-08,44937.5,75079.6,16194.95,88324.95,224537.0,104519.9,120017.1,37.90095694063927,-122.20986401826484,,39.0,23.0,,2.0,,19.0,27.0,6.0,166.0,,266.12200266678417,0.3457068730422,,22.42542129064,,62.75987397258798,16.144473492486195,3.0186574762088,610.8153665981179,282.0
2019-08,58748.75,74851.5,9929.0,112267.25,320564.14,122196.25,133600.25,47.449354639175255,-122.42877860824744,3.0,10.0,,2.0,5.0,,35.0,250.0,6.0,114.0,0.0022487150724,0.0758169719018,,0.022928075248,0.3718977897678,,0.5137432091385999,170.96996127815544,0.0390438666002,11.941029774063201,425.0
2019-08,207.875,127.237,1.932,342.541,679.585,344.473,335.11199999999997,40.6909464495114,-74.15705749185668,9.0,102.0,1.0,1.0,27.0,2.0,11.0,12.0,11.0,472.0,31.054975612106,172.84020878538,0.0661386786,0.00440924524,57.52962726889999,702.1061657914,0.07936641432,18.377954622582,2.2313426461544,593.6909824434944,648.0
2019-08,22418.0,109388.0,16986.0,110318.0,259110.0,127304.0,131806.0,29.602093408239703,-94.66715344569288,2.0,1.0,,,,,,18.0,,36.0,17.76484907196,0.583343145252,,,,,,2.9967435273659992,,7.083672940322001,57.0
2019-08,474789.0,271259.0,18632.55,760393.25,1525073.8,779025.8,746048.0,33.804338012958965,-118.37905453563714,35.0,27.0,1.0,,4.0,,,1030.0,23.0,164.0,9.1908953329704,2.87152096255,0.012345886672,,0.098767093376,,,2547.9470896541234,27.087316282892004,125.30173281428424,1284.0
2019-09,20777.0,102309.0,22168.0,106270.0,251524.0,128438.0,123086.0,29.602093408239703,-94.66715344569288,,1.0,,,,1.0,,40.0,,35.0,,0.00220462262,,,,151.01664947,,14.614862226277795,,27.829392256784,77.0
2019-09,56313.0,82147.5,9619.0,131451.0,347278.07,141070.0,138460.5,47.449354639175255,-122.42877860824744,4.0,3.0,,1.0,1.0,,78.0,126.0,3.0,86.0,0.029101018584,0.0949751424695999,,0.004850169764,0.001984160358,,1.170213686696,15.7194883900288,0.05291094288,5.3268973593488,302.0
2019-09,458668.5,253983.5,16966.9,757238.85,1486857.75,774205.75,712652.0,33.804338012958965,-118.37905453563714,34.0,17.0,3.0,,4.0,4.0,2.0,788.0,25.0,69.0,26.7623328624778,2.4249526046428005,1.188952978966,,23.826018041126,4338.69731616,0.014770971554,781.9533201199172,24.202104613871803,337.7955186316514,946.0
