,Date,Empty Exports,Loaded Exports,Empty Imports,Loaded Imports,Total TEUs,Total Imports,Total Exports,latitude,longitude,Count of Event_Cocaine,Count of Event_Ecstasy,Count of Event_Fentanyl,Count of Event_Heroin,Count of Event_Ketamine,Count of Event_Khat (Catha Edulis),Count of Event_Lsd,Count of Event_Marijuana,Count of Event_Methamphetamine,Count of Event_Other Drugs**,Sum Qty (lbs)_Cocaine,Sum Qty (lbs)_Ecstasy,Sum Qty (lbs)_Fentanyl,Sum Qty (lbs)_Heroin,Sum Qty (lbs)_Ketamine,Sum Qty (lbs)_Khat (Catha Edulis),Sum Qty (lbs)_Lsd,Sum Qty (lbs)_Marijuana,Sum Qty (lbs)_Methamphetamine,Sum Qty (lbs)_Other Drugs**,Sum_of_Counts,Ratio_Cocaine,Ratio_Ecstasy,Ratio_Fentanyl,Ratio_Heroin,Ratio_Ketamine,Ratio_Khat (Catha Edulis),Ratio_Lsd,Ratio_Marijuana,Ratio_Methamphetamine,Ratio_Other Drugs**,Hub Portuario
132,2020-08,21394.0,98552.0,11970.0,116714.0,248630.0,128684.0,119946.0,29.602093408239703,-94.66715344569288,1.0,1.0,1.0,,1.0,,,92.0,,74.0,0.000440924524,0.00220462262,0.020502990366,,2.2707612986,,,67.930154941012,,35.62775975805761,170.0,0.000440924524,0.00220462262,0.020502990366,,2.2707612986,,,0.7383712493588261,,0.4814562129467244,Houston
133,2020-08,534330.25,257605.75,14429.8,881077.95,1687442.75,895507.75,791936.0,33.804338012958965,-118.37905453563714,12.0,18.0,1.0,,2.0,2.0,,170.0,9.0,244.0,0.30093098763,7.982718044758,0.062170357884,,0.239862941056,1092.39050821,,217.161060088812,11.167074957086,271.3035492567964,458.0,0.0250775823025,0.4434843358198889,0.062170357884,,0.119931470528,546.195254105,,1.2774180005224236,1.2407861063428889,1.1118997920360507,Los Angeles/Long Beach
134,2020-08,46533.25000000003,54918.0,5291.0,107889.5,276407.27,113180.5,101451.25000000004,47.449354639175255,-122.42877860824744,1.0,,,,,,1.0,94.0,3.0,19.0,0.005070632026,,,,,,2.20462262e-05,12.996470807162002,0.021274608283,5.49722650297,118.0,0.005070632026,,,,,,2.20462262e-05,0.13826032773576596,0.007091536094333333,0.2893277106826316,Seattle/Tacoma
135,2020-08,216430.0,103067.0,1981.0,366887.0,688365.0,368868.0,319497.0,40.6909464495114,-74.15705749185668,176.0,1310.0,8.0,624.0,72.0,17.0,1378.0,21.0,122.0,918.0,8.24969784404,354.0183003196001,0.2425084881999999,9.105091420599996,543.0514622488802,11392.277157719,3.4965314753200234,14.0262941254164,6.1861710717200005,521.3632667623681,4646.0,0.04687328320477273,0.2702429773432062,0.030313561024999987,0.01459149266121794,7.542381420123336,670.1339504540588,0.002537395845660394,0.6679187678769715,0.05070632026000001,0.567933841789072,Newark/New York
136,2020-08,41214.5,76144.25,11866.0,96264.4,225489.15,108130.4,117358.75,37.90095694063927,-122.20986401826484,1.0,7.0,,2.0,,2.0,,386.0,3.0,136.0,0.304458383822,2.4341899734206,,0.522054636416,,1413.052868289,,584.3248196122337,0.306222081918,984.4968503890808,537.0,0.304458383822,0.3477414247743714,,0.261027318208,,706.5264341445,,1.5137948694617454,0.102074027306,7.238947429331477,Oakland
137,2020-08,12422.0,28298.0,10030.0,25150.0,75900.0,35180.0,40720.0,26.14492877245509,-79.93771224550898,62.0,68.0,1.0,,2.0,,46.0,45.0,13.0,988.0,107.72491600558402,35.273520995476005,0.023368999772,,4.416079570122,,0.1388912250599999,112.5715804196182,38.430320125054,1947.2447017997915,1225.0,1.7374986452513552,0.5187282499334707,0.023368999772,,2.208039785061,,0.003019374457826085,2.5015906759915154,2.956178471158,1.970895447165781,Miami/Fort Lauderdale
138,2020-09,229523.0,114690.0,2107.0,374649.0,720969.0,376756.0,344213.0,40.6909464495114,-74.15705749185668,77.0,368.0,,362.0,180.0,14.0,910.0,22.0,150.0,2314.0,1.009937622222,53.82806588992001,,9.1712300992,207.2257077895199,27334.344247463,2.914511103640009,6.519510011864001,32.469681947360016,2890.1910296697324,4397.0,0.01311607301587013,0.14627191817913046,,0.025334889776795582,1.1512539321639994,1952.4531605330715,0.0032027594545494605,0.2963413641756364,0.21646454631573345,1.2490021735824255,Newark/New York
139,2020-09,50494.0,66939.25,6878.25,122542.5,308682.43,129420.75,117433.25,47.449354639175255,-122.42877860824744,3.0,1.0,1.0,,,,1.0,88.0,3.0,66.0,0.020172296973,0.089066753848,0.0229060290218,,,,0.17747212091,319.48861899611194,0.0196652337703999,51.2432781453272,163.0,0.0067240989909999995,0.089066753848,0.0229060290218,,,,0.17747212091,3.630552488592181,0.006555077923466633,0.7764133052322304,Seattle/Tacoma
140,2020-09,542617.5,242952.75,16222.05,877412.5,1679204.8,893634.55,785570.25,33.804338012958965,-118.37905453563714,29.0,25.0,,,1.0,3.0,,204.0,9.0,360.0,0.316583808232,12.00637478852,,,0.013448197982,1510.386956962,,544.6921424026839,18.716364194752,847.2775229391835,631.0,0.010916683042482759,0.48025499154080004,,,0.013448197982,503.4623189873334,,2.6700595215817837,2.079596021639111,2.3535486748310652,Los Angeles/Long Beach
141,2020-09,9637.0,27685.0,12118.0,24835.0,74275.0,36953.0,37322.0,26.14492877245509,-79.93771224550898,43.0,21.0,,,,,20.0,86.0,2.0,820.0,303.597258226628,29.934586396622,,,,,0.1446232438719999,281.00309512065314,14.4072088217,1637.2462777035416,992.0,7.060401354107628,1.425456495077238,,,,,0.007231162193599995,3.267477850240153,7.20360441085,1.9966418020774899,Miami/Fort Lauderdale
142,2020-09,41439.5,75674.25,14779.0,93913.75,225806.5,108692.75,117113.75,37.90095694063927,-122.20986401826484,3.0,44.0,,,1.0,,14.0,240.0,15.0,87.0,0.449302089956,12.5629538151652,,,0.0060847584312,,18.4940941422036,499.2396142159537,80.625584529413,50.2987296300144,404.0,0.14976736331866666,0.2855216776173909,,,0.0060847584312,,1.3210067244431143,2.08016505923314,5.375038968627534,0.5781463175863724,Oakland
143,2020-09,29781.0,92415.0,10701.0,121508.0,254405.0,132209.0,122196.0,29.602093408239703,-94.66715344569288,1.0,3.0,,,36.0,1.0,1.0,79.0,1.0,94.0,0.001543235834,11.6217342800086,,,87.08259349000001,583.563607514,0.00110231131,42.2050529287918,57.32018812,66.1607689186524,216.0,0.001543235834,3.873911426669533,,,2.418960930277778,583.563607514,0.00110231131,0.5342411763138203,57.32018812,0.7038379672197064,Houston
144,2020-10,11391.0,33368.0,12872.0,26882.0,84513.0,39754.0,44759.0,26.14492877245509,-79.93771224550898,104.0,30.0,2.0,,5.0,,,34.0,3.0,804.0,763.0593074344455,22.111042105028,0.283514468932,,12.3899791244,,,72.67787589186061,7.075956761152,2044.4212481403647,982.0,7.337108725331206,0.7370347368342667,0.141757234466,,2.47799582488,,,2.1375845850547237,2.358652253717333,2.5428124976870206,Miami/Fort Lauderdale
